chebi_id,smiles,similarity
CHEBI:143064,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C=C\C=C(\C)CO)C(C)(C)CC(O)C1,0.5975609756097561
CHEBI:145956,C=C1C=CCC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,0.6590909090909091
CHEBI:145962,CC1=CC(=O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1C(C)=CC(O)CC1(C)C,0.5747126436781609
CHEBI:156530,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CC(O)C1,0.5365853658536586
CHEBI:166689,CCCCCCCCC/C=C/C(=O)OCC(=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@H]1C(C)=C[C@@H](O)CC1(C)C)/C=C/C1=C(C)C[C@H](O)CC1(C)C,0.5964912280701754
CHEBI:175354,CC(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,0.6666666666666666
CHEBI:175504,CC1=CC(O)CC(C)(C)C1/C=C/C(C)=C\C=C\C(C)=C\C=C/C=C(C)/C=C\C=C(\C)C=O,0.6410256410256411
CHEBI:175580,CC(=O)/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)/C=C/C1=C(C)CC(O)CC1(C)C,0.5975609756097561
CHEBI:175796,CC(=O)CC(O)/C(C)=C/C=C\C(C)=C\C=C\C=C(C)/C=C/C=C(C)\C=C\C1=C(C)CC(O)CC1(C)C,0.5384615384615384
CHEBI:176029,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1C(C)=CC(O)CC1(C)C,0.5617977528089888
CHEBI:176035,CC(C)=CCC/C(C)=C/C=C/C(C)=C\C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)/C=C/C1=C(C)CC(O)CC1(C)C,0.550561797752809
CHEBI:176073,CC1=CC(O)CC(C)(C)[C@@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C,1.0
